Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DAKSHIN GUJARAT VIJ COMP
,150300,Cheques,DAKSHIN GUJARAT VIJ,DAKSHIN GUJARAT VIJ COMP
,150300,Cheques,ADANI ELECTRICITY,ADANI ELECTRICITY
,150400,Cheques,ADANI GAS LIMITED,ADANI GAS
,150400,Cheques,GUJARAT GAS COMPANY LIMITED,GUJARAT GAS
,150400,Cheques,ADANI GAS,ADANI GAS
,150400,Cheques,CHAROTAR GAS SAHAKARI MANDALI LIMITED,CHAROTAR GAS SAHAKARI MANDALI
,150400,Cheques,GUJARAT GAS LTD,GUJARAT GAS
,150400,Cheques,HARYANA CITY GAS,HARYANA CITY GAS
,150400,Cheques,INDRAPRASTHA GAS LIMITED,INDRAPRASTHA GAS
,150400,Cheques,MAHANAGAR GAS LIMITED,MAHANAGAR GAS
,150400,Cheques,SABARMATI GAS LIMITED,SABARMATI GAS
,150400,Cheques,SABARMATI GAS LIMITED,SGL
,150400,Cheques,SITI ENERGY,SITI ENERGY
,150400,Cheques,TRIPURA NATURAL GAS,TRIPURA NATURAL GAS
,150400,Cheques,UNIQUE CENTRAL PIPED GASES PVT LTD,UNIQUE CENTRAL PIPED GASES
,150400,Cheques,UNIQUE CENTRAL PIPED GASES PVT LTD,UCPGPL
,150400,Cheques,VADODARA GAS LIMITED,VADODARA GAS
,150600,Cheques,MTNL,MTNL
,150600,Cheques,AIRTEL,BHARTI AIRTEL BAI
,150600,Cheques,AIRTEL,BHARTI AIRTEL LIMITE
,150600,Cheques,AIRTEL,BHARTI AIRTEL LLOCBNKB
,150600,Cheques,AIRTEL,BHARTI AIRTEL
,150600,Cheques,AIRTEL,BHARTI AIRTEL ZZ
,150600,Cheques,AIRTEL,BHARTI TELVENTURES AIRTE
,150600,Cheques,BSNL,BHARAT SANCHAR NIGAM LIM
,150600,Cheques,BSNL,BSNL
,150600,Cheques,BSNL,BSNL COLLECTION AS AO CAS
,150600,Cheques,BSNL,A O CASH BSNL PGMT NAGPUR
,150600,Cheques,MTNL,MTNL
,150600,Cheques,MTNL,MAHANAGAR TELEPHONE
,150600,Cheques,MTNL,MTNL HI
,150600,Cheques,TATA TELESERVICES,TATA TELESERVICE
,150600,Cheques,VODAFONE,VODAFONE INDIA
,150600,Cheques,VODAFONE,VODAFONE EAST
,150600,Cheques,VODAFONE IDEA LIMITED,VODAFONE IDEA
,150600,Cheques,VODAFONE MOBILE SERVICES,VODAFONE MOBILE SERVICES
