LOAN,COMMERCIAL VEHICLE LOAN,EMI,120501,"['commercial vehicle loan emi', 'commercial vehicle loan installment']"
LOAN,COMMERCIAL VEHICLE LOAN,DISBURSEMENT,120503,"['commercial vehicle loan disbursement', 'commercial vehicle loan dusb']"
LOAN,GOLD LOAN,REPAYMENT,120600,"['gold loan repayment', 'gold loan return']"
LOAN,GOLD LOAN,EMI,120601,"['gold emi', 'gold installment', 'gl emi', 'gl installemnt', 'gold loan emi']"
LOAN,GOLD LOAN,DISBURSEMENT,120602,"['gold loan disbursement', 'gl disbursement']"
LOAN,CC LOAN,REPAYMENT,120700,"['card loan repayment', 'cc loan repayment', 'credit card loan return', 'card loan return', 'cc loan return', 'credit card loan repayment']"
LOAN,CC LOAN,EMI,120701,"['credit card loan installment', 'card loan emi', 'cc loan installment', 'cc loan emi', 'credit card emi', 'credit card loan emi', 'card loan installment']"
PERSONAL TRANSFERS,PERSONAL TRANSFERS,,130000,['personal transfer']
PERSONAL TRANSFERS,TRANSFER SELF,,130100,"['my account', 'myself', 'self', 'own account', 'personal transfer self']"
PERSONAL TRANSFERS,TRANSFER FRIEND,,130200,"['colleague', 'frnd', 'freind', 'partner', 'friends', 'friend']"
PERSONAL TRANSFERS,TRANSFER FAMILY,,130300,"['my wife', 'family', 'son', 'relative', 'home', 'mummy', 'father', 'pappa', 'mata', 'appa', 'dad', 'parent', 'papa', 'maa', 'mom', 'spouse', 'sister', 'daughter', 'wife', 'brother', 'amma', 'tauji', 'mother', 'husband']"
PERSONAL TRANSFERS,TRANSFER SELF SAL,,130400,['self salary']
PERSONAL TRANSFERS,GIFTS,,130500,"['gifts', 'surprise', 'gift money', 'gift']"
RENT,MISC RENT,,140000,"['rent jul', 'rent nov', 'rent jun', 'rents', 'rent sep', 'sep rent', 'owner', 'rent apr', 'aug rent', 'may rent', 'jun rent', 'rent oct', 'jul rent', 'oct rent', 'nov rent', 'rent aug', 'dec rent', 'rent feb', 'feb rent', 'jan rent', 'apr rent', 'rental', 'rent may', 'rent mar', 'rent jan', 'landlord', 'mar rent', 'rent dec', 'rent']"
